Hierarchy,Identification,Name,Quantity,Unit,Value
1,A,MANODOPERA (escluse spese generali e utile dell'impresa),1,,
2,A.01,MANODOPERA EDILE,1,,
3,A.01.01,OPERAIO 4° LIVELLO,1,,
4,A.01.01.a,OPERAIO 4° LIVELLO da 0 a 1000 m s.l.m.,1,h,33.42
4,A.01.01.b,OPERAIO 4° LIVELLO da 1001 a 1300 m s.l.m.,1,h,34.88
4,A.01.01.c,OPERAIO 4° LIVELLO da 1301 a 2000 m s.l.m.,1,h,36.5
4,A.01.01.d,OPERAIO 4° LIVELLO da 2000 in su s.l.m.,1,h,37.54
3,A.01.02,OPERAIO SPECIALIZZATO,1,,
4,A.01.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,31.67
4,A.01.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,33.05
4,A.01.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,34.59
4,A.01.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,35.57
3,A.01.03,OPERAIO QUALIFICATO,1,,
4,A.01.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,29.38
4,A.01.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,30.67
4,A.01.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,32.1
4,A.01.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,33.01
3,A.01.04,OPERAIO COMUNE,1,,
4,A.01.04.a,OPERAIO COMUNE da 0 a 1000 m s.l.m.,1,h,26.39
4,A.01.04.b,OPERAIO COMUNE da 1001 a 1300 m s.l.m.,1,h,27.54
4,A.01.04.c,OPERAIO COMUNE da 1301 a 2000 m s.l.m.,1,h,28.82
4,A.01.04.d,OPERAIO COMUNE da 2000 in su s.l.m.,1,h,29.64
2,A.02,MANODOPERA IMPIANTISTICA IGENICO-SANITARIA,1,,
3,A.02.02,OPERAIO SPECIALIZZATO,1,,
4,A.02.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
4,A.02.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
4,A.02.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
4,A.02.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
3,A.02.03,OPERAIO QUALIFICATO,1,,
4,A.02.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,28.31
4,A.02.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,29.54
4,A.02.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,30.92
4,A.02.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,31.8
2,A.03,MANODOPERA MARITTIMA,1,,
3,A.03.01,SOMMOZZATORE,1,,
4,A.03.01.00,SOMMOZZATORE COMPRESA ATTREZZATURA,1,h,68.75
3,A.03.02,MARINAIO,1,,
4,A.03.02.a,MARINAIO CONDUCENTE,1,h,29.93
4,A.03.02.b,MARINAIO ASSISTENTE,1,h,25.45
2,A.04,MANODOPERA ELETTRICISTA,1,,
3,A.04.02,OPERAIO SPECIALIZZATO,1,,
4,A.04.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
4,A.04.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
4,A.04.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
4,A.04.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
3,A.04.03,OPERAIO QUALIFICATO,1,,
4,A.04.03.a,OPERAIO QUALIFICATO da 0 a 1000 m s.l.m.,1,h,28.31
4,A.04.03.b,OPERAIO QUALIFICATO da 1001 a 1300 m s.l.m.,1,h,29.54
4,A.04.03.c,OPERAIO QUALIFICATO da 1301 a 2000 m s.l.m.,1,h,30.92
4,A.04.03.d,OPERAIO QUALIFICATO da 2000 in su s.l.m.,1,h,31.8
2,A.05,MANODOPERA IMPIANTISTICA TERMOIDRAULICA,1,,
3,A.05.02,OPERAIO SPECIALIZZATO,1,,
4,A.05.02.a,OPERAIO SPECIALIZZATO da 0 a 1000 m s.l.m.,1,h,30.39
4,A.05.02.b,OPERAIO SPECIALIZZATO da 1001 a 1300 m s.l.m.,1,h,31.71
4,A.05.02.c,OPERAIO SPECIALIZZATO da 1301 a 2000 m s.l.m.,1,h,33.19
4,A.05.02.d,OPERAIO SPECIALIZZATO da 2000 in su s.l.m.,1,h,34.13
